,path_initial,path_final
0,4,1
1,,1
2,,1
3,2,1
4,,1
5,6,1
6,,1
7,,1
8,,1
9,5,1
10,,2
11,,1
12,,2
13,,3
14,,1
15,,1
16,,1
17,,3
18,,1
19,,1
20,,2
21,2,2
22,,1
23,,1
24,,1
25,,2
26,,1
27,,1
28,,2
29,,1
30,,1
31,,9
32,,2
33,0,1
34,,1
35,,1
36,,1
37,,1
38,,1
39,,1
40,,1
41,,1
42,2,1
43,,1
44,,1
45,,2
46,,2
47,,1
48,1,2
49,,2
50,,2
51,,2
52,6,1
53,,1
54,4,1
55,6,1
56,,1
57,,1
58,3,1
59,,2
60,,1
61,1,1
62,,2
63,,1
64,,2
65,,1
66,,1
67,,1
68,3,1
69,,1
70,,1
71,,1
72,,1
73,,1
74,2,1
75,,2
76,,1
77,,2
78,,2
79,,3
80,,1
81,,1
82,,1
83,,1
84,,1
85,,1
86,,1
87,,1
88,,2
89,,1
90,,1
91,,2
92,,3
93,,2
94,2,2
95,,1
96,,1
97,,1
98,6,1
99,,1
100,,2
101,,1
102,2,1
103,,1
104,,3
105,,2
106,,2
107,,1
108,,1
109,,1
110,,1
111,,1
112,,1
113,3,2
114,,1
115,,1
116,,1
117,,2
118,,1
119,,1
120,,4
121,,1
122,,2
123,,1
124,,1
125,,1
126,,1
127,,1
128,,2
129,,1
130,,1
131,,1
132,,1
133,,1
134,,1
135,,1
136,,1
137,,3
138,,1
139,,1
140,,1
141,,4
142,,1
143,,1
144,,1
145,,1
146,,1
147,,1
148,,1
149,,2
150,,1
151,,2
152,,2
153,,1
154,7,1
155,,1
156,,1
157,,2
158,,1
159,,1
160,,1
161,,1
162,,2
163,,1
164,,1
165,,1
166,,2
167,10,2
168,,2
169,,1
170,,1
171,,2
172,,1
173,,1
174,6,1
175,,1
176,,3
177,,1
178,,2
179,5,1
180,,1
181,,1
182,,2
183,,1
184,3,1
185,,1
186,,1
187,4,1
188,,1
189,,2
190,,1
191,,3
192,,2
193,7,2
194,3,2
195,,1
196,,2
197,,1
198,,1
199,,2
200,,1
201,4,1
202,,1
203,,1
204,,1
205,,1
206,,1
207,10,1
208,,1
209,6,1
210,,1
211,,1
212,,1
213,,1
214,,1
215,,1
216,9,1
217,,1
218,,1
219,,1
220,,1
221,,1
222,2,1
223,,1
224,,1
225,,1
226,,1
227,,1
228,,1
229,,1
230,,1
231,7,1
232,,1
233,,1
234,,2
235,,1
236,,1
237,,2
238,,1
239,,1
240,,1
241,9,1
242,,1
243,,1
244,,1
245,,1
246,,1
247,,1
248,,8
249,,1
250,,1
251,,1
252,,1
253,,1
254,,1
255,,2
256,,1
257,4,1
258,13,1
259,,1
260,,1
261,,1
262,,2
263,,1
264,,1
265,,1
266,,1
267,,1
268,,1
269,,3
270,,1
271,,1
272,,1
273,,1
274,,2
275,,1
276,,1
277,,1
278,,1
279,,1
280,,1
281,,2
282,,1
283,,2
284,,1
285,,1
286,,2
287,,2
288,,3
289,,1
290,,2
291,,2
292,,1
293,9,1
294,2,1
295,,1
296,,2
297,,1
298,,2
299,,1
300,,1
301,,1
302,,1
303,,1
304,,1
305,,1
306,,1
307,,1
308,,1
309,,1
310,,1
311,,2
312,,1
313,,1
314,,1
315,,1
316,,1
317,,1
318,,1
319,,1
320,,1
321,6,1
322,,1
323,,1
324,,1
325,6,1
326,,1
327,,1
328,,1
329,,2
330,,1
331,,1
332,,1
333,3,1
334,8,1
335,,1
336,5,1
337,3,1
338,,1
339,,1
340,,2
341,,1
342,,1
343,,1
344,,1
345,,1
346,,1
347,,1
348,,1
349,4,2
350,,1
351,,1
352,9,1
353,,1
354,,1
355,1,1
356,,1
357,,3
358,,1
359,9,1
360,,1
361,,1
362,,1
363,,1
364,,2
365,,1
366,,1
367,,1
368,,2
369,,1
370,,1
371,,1
372,,1
373,,1
374,,1
375,,1
376,,1
377,,1
378,,1
379,2,1
380,,2
381,,2
382,,1
383,7,1
384,,1
385,,1
386,,2
387,,1
388,,1
389,,2
390,,1
391,,1
392,,1
393,,2
394,,1
395,,1
396,,1
397,,1
398,,1
399,,1
